sequence,hash,shortHash,authorDate,authorName,subject,additions,deletions,filesChanged,githubUrl
1,bf085fe896f330e2a4f224a7891034004e8e0e2a,bf085fe,2026-03-22T18:01:03Z,Kacper,Migrating SQL Engine to wa-sqlite (#193),2250,1672,60,https://github.com/h-sphere/sql-seal/commit/bf085fe896f330e2a4f224a7891034004e8e0e2a
2,f57e0f5a0009dbf18a6871ca77ddc7db68ba497f,f57e0f5,2026-03-22T23:07:08Z,Kacper,fix: include release version in PR title and commit name (#204),12,5,1,https://github.com/h-sphere/sql-seal/commit/f57e0f5a0009dbf18a6871ca77ddc7db68ba497f
3,d9cb4d5feaa8d433fa912e9d536bafb9b22e1b82,d9cb4d5,2026-03-29T10:43:53+01:00,Kacper,fix: restore syntax highlighting inside Obsidian callouts (#205),211,29,4,https://github.com/h-sphere/sql-seal/commit/d9cb4d5feaa8d433fa912e9d536bafb9b22e1b82
4,03dfcd78b27c5f2fad0ce1998526a2a4ad93733c,03dfcd7,2026-03-29T11:15:57+01:00,Kacper,fix(parser): fixing select keyword parsing outside the SQL queries (#206),115,1,3,https://github.com/h-sphere/sql-seal/commit/03dfcd78b27c5f2fad0ce1998526a2a4ad93733c
5,c8567131cd52587ae49acb7402bfb9a52c3388b9,c856713,2026-03-29T20:31:15+01:00,Kacper,feat: expose task status symbol in tasks table (#207),138,6,6,https://github.com/h-sphere/sql-seal/commit/c8567131cd52587ae49acb7402bfb9a52c3388b9
6,fc24a4f9c048d21322ba2ccbbdad3f6f9163335a,fc24a4f,2026-04-06T12:36:50+01:00,Kacper,feat: add JSONL/NDJSON file format support with sidebar preview (#203),351,1,9,https://github.com/h-sphere/sql-seal/commit/fc24a4f9c048d21322ba2ccbbdad3f6f9163335a
7,b852977496fe54763e13acdf0669d5fc261b7b68,b852977,2026-04-06T12:37:36+01:00,Kacper,chore: Disabling console logs on production builds (#208),6,1,2,https://github.com/h-sphere/sql-seal/commit/b852977496fe54763e13acdf0669d5fc261b7b68
8,c038366783892f516324b10d34c092aea77ef40c,c038366,2026-04-06T12:50:00+01:00,Kacper,feat: add TAGS() macro and auto-detection for multi-tag AND queries (#202),406,22,8,https://github.com/h-sphere/sql-seal/commit/c038366783892f516324b10d34c092aea77ef40c
9,33e19df3db1ae38df09a404efbfca793967e437c,33e19df,2026-04-07T08:53:15+01:00,Kacper,fix: fixing issue with config and extra logs (#209),167,89,8,https://github.com/h-sphere/sql-seal/commit/33e19df3db1ae38df09a404efbfca793967e437c
10,6d4dcc5ece28ecb2ef24eb81458f0f38633d2d96,6d4dcc5,2026-04-12T10:46:01+01:00,github-actions[bot],Release 0.40.0 (#201),122,43,13,https://github.com/h-sphere/sql-seal/commit/6d4dcc5ece28ecb2ef24eb81458f0f38633d2d96
11,42a65416509cb1a47276cb300b47b446630faa57,42a6541,2026-05-04T10:51:44+01:00,Kacper,fix: wa-sqlite initialisation fix (#210),32,57,7,https://github.com/h-sphere/sql-seal/commit/42a65416509cb1a47276cb300b47b446630faa57
12,8972c9c7f428109a661c6dfa8bd2f90167b55e68,8972c9c,2026-05-04T10:52:55+01:00,github-actions[bot],release: Release 0.40.1 (#211),10,8,5,https://github.com/h-sphere/sql-seal/commit/8972c9c7f428109a661c6dfa8bd2f90167b55e68
